Location,Function,Input time type,Output type,Market semantic,Uses shared calendar?,Risk
app/services/technical_indicators.py:92,calculate_relative_strength_features,stock/benchmark/sector frames,dict,session-aligned relative strength,No,"Medium: UTC date normalization"
app/services/technical_indicators.py:235,_market_session_dates,date or timestamp series,naive midnight series,canonical join key,No,"Medium for late timezone-aware timestamps; production PriceBar dates safe"
app/services/technical_indicators.py:263,calculate_htf_trend_features,daily frame,dict,confirmed weekly trend,No,"High: positional weekly[-2] lacks completion state"
app/services/technical_indicators.py:283,resample_weekly_ohlcv,daily frame,W-FRI DataFrame,weekly aggregation,No,"Medium: grouping label is not confirmation proof"
app/services/relative_leadership.py:20,calculate_beta_adjusted_rs,stock and benchmark frames,dict,beta-adjusted market leadership,No,"Caller must bound frames"
app/services/relative_leadership.py:113,_market_session_dates,date or timestamp series,naive midnight series,canonical join key,No,"Medium for late timezone-aware timestamps; production PriceBar dates safe"
app/services/market_regime_command_center.py:55,build_snapshot,optional calendar date,MarketRegimeCommandCenterDto,market state as of latest input,No,High
app/services/market_regime_command_center.py:136,_load_market_input,symbol and implicit latest,features plus date,SPY/QQQ state,No,High
app/services/market_regime_command_center.py:242,_index_health,calendar today and source date,health flags,input freshness,No,"High: trading-day setting uses calendar .days"
app/services/sector_rotation_service.py:397,_resolve_as_of_date,technical/upload timestamps,date,outer sector snapshot session,Yes,Low
app/services/sector_etf_rotation_service.py:17,build,implicit latest frames,list of metrics,inner ETF confirmation state,No,"High if ETF mode enabled; currently disabled"
app/services/setup_lifecycle/source_loader.py:80,load_run_context,upload/processed timestamps,RunSourceContext,lifecycle source cutoff,Partly,High
app/services/setup_lifecycle/source_loader.py:194,_load_price_bars,calendar cutoff date,PriceBar collection,latest ticker context bar,No,High
app/services/setup_lifecycle/source_loader.py:465,_run_context_cutoff_date,bar/technical/upload timestamps,date,run context cutoff,No,High
app/services/setup_lifecycle/source_loader.py:494,_upload_run_cutoff_date,processed/uploaded datetime,date,market-bar cutoff,No,High
app/services/setup_lifecycle/source_loader.py:501,_ticker_context_cutoff_date,technical/upload context,date,ticker context cutoff,No,High
app/services/setup_lifecycle/snapshot_builder.py:234,_resolve_data_as_of_date,bar/technical timestamp/date,date,snapshot market date,No,High
app/services/setup_lifecycle/snapshot_builder.py:1026,_future_dated_context,context dates and ticker as-of,bool,context coherence guard,No,Low
app/services/setup_lifecycle/canonicalization.py:233,_context_complete,snapshot lineage,bool,canonical eligibility,No,"Low for cross-context future guard; inherits source cutoff"
app/services/ceri/effective_session_service.py:27,resolve,event timestamp or source date,EffectiveSessionResult,event effective session,Yes,"High for same-session reaction after open; exact close stays same"
app/services/ceri/effective_session_service.py:67,_localize,datetime,New York datetime,event timestamp normalization,No,"Medium: naive timestamp assumes configured timezone"
app/services/ceri/price_response_service.py:39,calculate,event and price bars,price-response feature,event reaction window,Indirect,High
app/services/ceri/price_response_service.py:346,reaction_session,event timestamp/date,date,reaction start session,Yes,High
app/services/ceri/feature_rebuild_service.py:160,prepare_batch,optional as_of/to session,CeriFeatureBatchContext,feature knowledge boundary,No,"High: defaults date.today and UTC 23:59:59"
app/services/ceri/capture_service.py:98,capture_run,optional cutoff_at,CERI snapshot rows,score knowledge boundary,No,"High: repeated cutoff_at.date()"
app/services/ceri/capture_service.py:659,_revision_is_known_by,revision timestamps and as-of date,bool,revision eligibility,No,"High: timestamp reduced to date"
app/services/ceri/alert_service.py:208,_within_cooldown,alert/change datetimes,bool,alert cooldown in sessions,Partly,"High: calls .date before session arithmetic"
app/services/ceri/alert_service.py:303,_trading_sessions_between,date pair,int,session count,Yes,"Safe only when callers supply session identities"
app/services/ceri/point_in_time_query.py:146,cutoff_at and window days,date,revision target date,No,"Medium: UTC date and calendar-day window"
app/services/ib_market_intelligence/adapters.py:78,IBHistoricalMetricClient.fetch,date range,list of metric bars,IB daily historical request,No,"High: calendar-day duration and next-UTC-midnight end; post-filter prevents range spill"
app/services/ib_market_intelligence/orchestration.py:115,execute_historical_refresh,payload dates,persisted metric bars,historical intelligence window,No,High
app/services/ib_market_intelligence/orchestration.py:1065,execute_feature_rebuild,implicit date.today,IBIntelligenceFeature rows,feature as-of session,No,High
app/services/ib_market_intelligence/orchestration.py:1357,_historical_date_ranges,payload dates or date.today,list of calendar ranges,provider request chunks,No,High
app/services/pipeline_executor.py:203,execute_full_pipeline,run id and per-stage implicit clocks,pipeline outputs,full market-sensitive state,No,High
app/services/pipeline_executor.py:1309,_apply_market_session_metadata,fetch plan,result metadata,IB core-fetch reviewed session scope,Yes,Low
app/services/winner_probability/temporal_integrity.py:33,validate_next_open_timing,decision and feature timestamps,validation result,Winner causal next-open invariant,Yes,Low
